naam,id,eigenaar.bsn,ras,Geboortedatum,Sterftedatum
Ramario,92382,376163999,Épagneul breton,21-7-2019,
Zack,70272,531271171,Zweedse elandhond,26-12-2021,
Pacha,,495945122,Eurasiër,29-6-2014,22-10-2019
Odemis,55297,255607520,Imaalterriër,7-5-2013,
Enjy,,170322439,Taiwandog,20-5-2014,17-5-2022
Dasha,95082,171681630,Mechelse herder,4-4-2005,
Quasimodo,,266461797,Bostonterriër,19-12-2007,
Paragon,72634,743767585,Cane corso,20-4-2015,
Waran,,866275642,Amerikaanse cockerspaniël,29-1-2021,
Queenie,64510,222153921,toypoedel,12-5-2011,
Olme,60466,777761087,Riesenschnauzer,19-1-2019,
Wenga,,350126057,Spinone italiano,7-5-2006,
Haspa,91971,3479316,Bedlingtonterriër,11-10-2016,
Galla,,374255982,Posavski gonic,24-7-2021,
Jalka,19709,739935227,Phalène,30-10-2014,22-5-2017
Gerra,72390,526578415,Kromfohrländer,14-9-2015,
Djamilla,79916,487110213,Oostenrijkse pinscher,4-5-2005,21-4-2014
Chulit,12732,870067151,Japanse spaniël,21-7-2016,
Enda,74125,619486089,Crnogorski planinski gonic,18-3-2008,15-5-2022
Bavaria,54770,684674002,Ca de bou,15-4-2017,
Pascalle,62708,185718449,Portugese pointer,27-2-2018,
Farukos,,405064809,Laekense herder,19-6-2013,
Drigon,25979,827798982,Tosa,9-3-2006,
Darla,59642,452113933,Welsh corgi Cardigan,7-7-2013,
Fado,83382,383942391,Continental bulldog,20-8-2016,
Fanna,81414,878742578,Bordeauxdog,20-11-2011,
Iinca,25927,66746280,Russische toyterriër,4-6-2005,
Dyonisos,39724,92768763,Steirische rauhhaarbracke,11-6-2022,
Gerolf,44948,596264367,Luzerner niederlaufhund,19-1-2010,17-1-2015
Zandu,98679,452711824,Belgische herder,6-7-2011,11-6-2013
Charon,98170,817512408,Duitse staande hond (langhaar),7-11-2013,
Aras,79640,718863847,Barzoi,17-1-2005,2-10-2021
Narvik,20670,348731176,Bosanski ostrodlaki gonic barak,3-7-2021,
Gayretli,56508,534831291,Franse buldog,13-8-2011,19-3-2012
Eeros,77363,901686360,IJslandse hond,9-12-2018,
Nata,18264,485549384,Petit bleu de Gascogne,24-6-2008,
Dagwood,33903,182161535,Golden retriever,10-1-2013,
Jacker,61157,790654660,Dwergschnauzer,22-4-2018,
Christ,83257,277170783,Miniatuurbulterriër,3-11-2009,
Dorian,56160,592131440,Bordercollie,2-1-2012,6-4-2016
Zambi,44890,522778203,Staffordshire-bulterriër,12-11-2017,
Xanus,29325,854078071,Ierse wolfshond,4-11-2011,
Doenja,68906,470218393,Faraohond,4-7-2006,
Finnguala,,445599765,Koreaanse jindohond,13-6-2020,
Hayo,55548,925456123,Zweedse elandhond,21-2-2022,
Veggie,87825,129957471,Épagneul de Pont-Audemer,16-4-2014,
Caster,83759,593839936,Kelpie,30-12-2008,
Ghana,51651,134036505,Beagle-harrier,16-9-2017,
Gele,45019,208089202,Grand anglo-français blanc et orange,26-12-2020,
Dunya,49596,3331805,Otterhound,23-9-2013,
Xell,31415,327778672,magyar agár,17-4-2015,
Charme,39105,753817123,Lhasa apso,11-12-2017,
Hanko,,360621259,Basenji,9-1-2022,
Kanaris,51719,454333808,Tibetaanse spaniël,11-7-2019,
Hako,,234540783,Dogo Canario,16-8-2006,17-5-2019
Kally,,425533505,Zwarte Russische terriër,15-7-2018,
Daily,,143728805,Japanse spaniël,1-3-2019,
Velca,13227,704561621,Grote Zwitserse sennenhond,9-3-2018,
Bergundy,49278,749818256,Schwyzer Laufhund,26-4-2012,
Zaran,19069,841570231,Schipperke,14-8-2019,
Festa,,706296114,groot,28-7-2013,
Marcos,,406048629,Srpski trobojni gonic,18-7-2007,
Xargas,69406,113416891,Brandlbracke,1-6-2009,
Vanbert,16598,453028810,Australian stumpy tail cattle dog,19-11-2013,
Centi,55630,751336701,Estische brak,12-5-2006,14-11-2019
Barisci,70878,204696173,Français tricolore,5-9-2015,
Cent,33644,82748445,Groenlandse hond,5-9-2019,
Olm,54172,632543693,cuvac,24-7-2005,16-2-2006
Quby,45894,974299558,dashond,21-8-2012,
Daysi,74987,950144435,Finse lappenhond,22-9-2012,24-4-2019
Nannie,83104,49752662,Fieldspaniël,26-11-2020,
Cina,54278,228424021,russkiy toy,29-12-2014,
Quando,15041,117738335,Teckel,1-10-2006,
Altaj,,83345814,Thaise pronkrug,13-9-2019,
Faun,,288318237,Welsh corgi Cardigan,1-7-2021,
Held,84182,236476798,Japanse spaniël,16-9-2014,
Geautie,68695,309457841,Braque d'Auvergne,6-5-2018,
Galan,79223,265477918,Perro de agua español,13-3-2012,
Ladon,84667,868313993,Duitse herder,23-5-2017,
Harra,88936,593726881,Griffon fauve de Bretagne,14-11-2011,7-9-2017
Cinda,66123,701184541,Continental bulldog,21-8-2005,12-9-2009
Gerold,80531,203383126,Foxterriër,23-6-2018,
Safari,33257,6772316,Chart polski,17-5-2007,
Tarzaniego,88030,270516979,Sint-bernard,21-7-2022,
Amiga,86900,332104692,Picardische herdershond,17-3-2013,25-3-2020
Almala,16281,864167258,Jackrussellterriër,10-12-2017,
Djak,80364,881604689,Oostenrijkse gladharige brak,19-7-2021,
Dulcon,16807,952322870,Puli,20-5-2005,
Ubbo,77060,178235817,Poitevin,6-7-2012,
Quatro,50666,498732125,Hongaarse windhond,10-10-2016,
Fata,60905,510779797,karstherder,15-7-2021,
Feline,98192,140628915,Chowchow,27-6-2005,24-10-2013
Alrune,60786,984087448,Welsh corgi Pembroke,14-10-2010,8-8-2021
Birga,34615,253474243,Fieldspaniël,13-11-2007,25-2-2015
Alli,,188737881,Duitse staande hond (langhaar),28-10-2020,
Wenga,12481,163439266,Jura Laufhund,15-6-2014,
Gizmo,62402,289513261,Grote Zwitserse sennenhond,19-12-2005,
Kai,49896,513447933,Welsh terriër,27-10-2013,25-7-2014
Zade,30375,892131974,Épagneul de Pont-Audemer,12-6-2016,
Dommel,38579,339407116,Braque Saint-Germain,19-1-2019,
Lassah,32551,876574915,Ciobanesc romanesc mioritic,19-2-2018,
Glen,61464,150612369,Affenpinscher,16-7-2012,
Cantor,26567,750332384,Dandie Dinmont-terriër,18-2-2018,
Pandur,28263,843782638,wolfskees,3-11-2014,
Zazu,46722,139833559,Karelische berenhond,19-3-2021,
Chicco,88875,167273711,Slovenský hrubosrstý stava?,11-4-2005,7-2-2014
Hestia,67327,87615629,Shiba,18-6-2018,
Santini,15635,200881735,Duitse staande hond (draadhaar),1-11-2005,
Helios,83045,964687070,Grand anglo-français blanc et orange,3-11-2006,16-6-2022
Canto,31944,896380919,Portugese pointer,12-10-2017,
Ulo,54752,405151913,Puli,2-3-2017,
Akim,96538,976310016,Laekense herder,19-6-2015,
Hawthorn,52452,368679305,Barzoi,28-10-2020,
Dipsy,13566,143202741,Dalmatiër,6-3-2010,5-8-2021
Farock,,539549782,Grand Gascon saintongeois,11-11-2010,
Fenka,25268,124539622,Cão de Castro Laboreiro,11-4-2020,
Hacke,48811,677032730,Spaanse waterhond,29-4-2015,
Bica,23812,85877700,Engelse buldog,30-6-2008,
Peaches,,830927554,Skyeterriër,5-6-2017,
Sandi,,335429543,Grand griffon vendéen,21-2-2016,
Amix,,532970366,Middenslagschnauzer,20-7-2019,
Akaran,38750,284808659,Bracco italiano,1-3-2010,
Varina,69956,527539235,Hellinikos ichnilatis,20-11-2014,
Paola,64096,557113635,Cão da Serra de Aires,26-9-2019,
Alfgund,42294,741289131,Schotse terriër,3-3-2015,
Ghandi,66720,379115815,Leonberger,26-3-2019,
Quayle,15258,957699815,Hellinikos ichnilatis,22-9-2014,
Yani,,271323206,Chien d'Artois,25-4-2008,31-1-2009
